iter	Accuracy	MultiClass
0	0.6484948605	1.070361513
1	0.6591409692	1.04540728
2	0.6563876652	1.021975401
3	0.6604258443	1.000284645
4	0.6618942731	0.980998564
5	0.6615271659	0.9630996774
6	0.6611600587	0.9465863688
7	0.6593245228	0.932727405
8	0.6600587372	0.9203057207
9	0.6600587372	0.9077162367
10	0.6589574156	0.8981109842
11	0.6611600587	0.8880883179
12	0.6611600587	0.878196575
13	0.6591409692	0.8691109056
14	0.6573054332	0.8616798971
15	0.6584067548	0.8549001538
16	0.6574889868	0.8478017029
17	0.6584067548	0.8420050613
18	0.65969163	0.8347381814
19	0.6600587372	0.8287586646
20	0.6604258443	0.8237854697
21	0.6620778267	0.8179980854
22	0.6622613803	0.8127171392
23	0.6629955947	0.8073108153
24	0.6606093979	0.8044621574
25	0.6602422907	0.8005408718
26	0.6607929515	0.7960817542
27	0.6613436123	0.792598719
28	0.6628120411	0.7885029554
29	0.6635462555	0.7855258195
30	0.6629955947	0.7820975866
31	0.6640969163	0.7781722282
32	0.6640969163	0.7753548136
33	0.6644640235	0.7726698754
34	0.6633627019	0.7700826097
35	0.6646475771	0.7671269458
36	0.6642804699	0.7656864671
37	0.6653817915	0.7633851972
38	0.6655653451	0.7612955378
39	0.6657488987	0.7595192835
40	0.6655653451	0.756777708
41	0.6661160059	0.7546507693
42	0.6664831131	0.7527505275
43	0.6664831131	0.7508989156
44	0.6662995595	0.749522249
45	0.6668502203	0.7474987784
46	0.6674008811	0.7461934004
47	0.6674008811	0.7441754607
48	0.6674008811	0.7431796769
49	0.6670337739	0.7413700745
50	0.668318649	0.7392650105
51	0.6677679883	0.7380248991
52	0.668318649	0.7371404918
53	0.6688693098	0.735793852
54	0.6686857562	0.7348460267
55	0.6686857562	0.7340738018
56	0.669236417	0.7324734747
57	0.6690528634	0.7310373078
58	0.6699706314	0.7298395017
59	0.6696035242	0.7296511217
60	0.6696035242	0.7293960879
61	0.6697870778	0.7282828115
62	0.6697870778	0.727672191
63	0.6697870778	0.7260038891
64	0.670154185	0.7244628885
65	0.6703377386	0.7227585871
66	0.6708883994	0.7218715651
67	0.6712555066	0.7204691642
68	0.6721732746	0.7196496299
69	0.6718061674	0.7186771951
70	0.6723568282	0.7172073407
71	0.672907489	0.7162274381
72	0.671989721	0.7157886643
73	0.6730910426	0.714979769
74	0.673825257	0.7138421297
75	0.6743759178	0.7128563866
76	0.674743025	0.7117520733
77	0.6749265786	0.7117251593
78	0.6752936858	0.7106898532
79	0.674743025	0.710439094
80	0.6749265786	0.7096702557
81	0.6749265786	0.7091563616
82	0.674743025	0.7083188133
83	0.6754772394	0.7072058779
84	0.6752936858	0.7063052348
