iter	Passed	Remaining
0	256	128139
1	373	93018
2	434	71950
3	545	67652
4	657	65116
5	764	62922
6	877	61832
7	1003	61687
8	1143	62380
9	1332	65310
10	1360	60495
11	1490	60624
12	1621	60741
13	1770	61475
14	1829	59140
15	1871	56620
16	1997	56745
17	2044	54753
18	2166	54842
19	2284	54822
20	2403	54829
21	2531	55000
22	2673	55449
23	2803	55601
24	2828	53747
25	2956	53898
26	3078	53932
27	3205	54034
28	3327	54044
29	3469	54358
30	3602	54499
31	3718	54386
32	3835	54274
33	3952	54165
34	4072	54110
35	4199	54130
36	4228	52918
37	4357	52977
38	4473	52873
39	4584	52723
40	4700	52621
41	4823	52598
42	4941	52513
43	5060	52447
44	5176	52344
45	5303	52343
46	5421	52249
47	5537	52140
48	5648	51986
49	5770	51930
50	5880	51774
51	6001	51707
52	6114	51572
53	6228	51440
54	6344	51334
55	6391	50673
56	6502	50537
57	6624	50481
58	6740	50385
59	6776	49695
60	6836	49197
61	6946	49073
62	7062	48986
63	7175	48880
64	7299	48850
65	7413	48748
66	7524	48625
67	7641	48547
68	7755	48442
69	7875	48377
70	7992	48290
71	8100	48153
72	8215	48055
73	8332	47970
74	8542	48406
75	8668	48360
76	8801	48352
77	8815	47695
78	8940	47643
79	9019	47351
80	9149	47328
81	9270	47255
82	9394	47198
83	9508	47090
84	9629	47016
85	9753	46952
86	9872	46864
87	9922	46454
88	10051	46416
89	10164	46305
90	10278	46196
91	10479	46475
92	10645	46590
93	10771	46524
94	10895	46448
95	10932	46008
96	11049	45905
97	11162	45787
98	11274	45666
99	11389	45556
100	11503	45446
101	11632	45388
102	11750	45291
103	11865	45180
104	11985	45088
105	12098	44970
106	12220	44885
107	12341	44796
108	12462	44705
109	12592	44647
110	12719	44573
111	12850	44517
112	12974	44433
113	13085	44307
114	13099	43854
115	13215	43747
116	13249	43373
117	13367	43273
118	13435	43016
119	13643	43205
120	13766	43119
121	13896	43055
122	14023	42983
123	14145	42893
124	14273	42820
125	14397	42735
126	14530	42676
127	14648	42571
128	14781	42510
129	14904	42419
130	15048	42387
131	15163	42273
132	15190	41916
133	15308	41813
134	15423	41699
135	15534	41578
136	15648	41463
137	15775	41382
138	15896	41285
139	16014	41179
140	16091	40970
141	16206	40858
142	16319	40741
143	16438	40638
144	16471	40327
145	16588	40222
146	16792	40325
147	16935	40278
148	17070	40212
