TIME_OF_DAY,TEMPERATURE,HUMIDITY,CO2_INFRAREDSENSOR,CO2_ELECTROCHEMICALSENSOR,METALOXIDESENSOR_UNIT1,METALOXIDESENSOR_UNIT2,METALOXIDESENSOR_UNIT3,METALOXIDESENSOR_UNIT4,CO_GASSENSOR,SESSION_ID,HVAC_OPERATION_MODE,AMBIENT_LIGHT_LEVEL,ACTIVITY_LEVEL
morning,19.63,53.83,125.49,571.09,478.55,735.85,654.63,565.05,2.0,7241,off,very dim,low activity
morning,19.62,54.25,126.56,585.54,505.56,737.11,649.96,558.07,1.0,7241,eco mode,very bright,low activity
morning,20.1,50.48,113.5,597.45,515.14,744.02,676.15,600.22,1.0,7241,eco mode,very bright,high activity
morning,19.89,48.42,92.77,613.65,535.66,770.27,720.27,625.73,1.0,7241,heating active,moderate,low activity
night,20.04,48.42,118.29,582.62,474.78,736.89,694.94,628.88,1.0,6431,heating active,bright,low activity
night,19.29,52.67,136.29,574.12,474.92,721.38,680.51,622.28,1.0,7963,maintenance mode,bright,moderate activity
morning,17.79,51.15,116.56,590.75,456.43,726.7,691.31,609.6,1.0,3418,ventilation only,very bright,moderate activity
afternoon,19.51,49.93,85.29,612.37,544.45,766.13,717.66,636.11,0.0,7241,eco mode,very bright,moderate activity
afternoon,19.66,50.04,81.2,613.29,548.39,769.56,709.15,629.2,0.0,7241,off,dim,moderate activity
afternoon,19.26,51.57,86.13,618.58,538.61,770.22,709.51,622.5,0.0,7241,cooling active,dim,moderate activity
afternoon,19.73,50.62,91.74,619.34,527.87,761.42,703.67,618.39,0.0,7241,heating active,very bright,high activity
morning,18.74,52.3,113.24,573.39,433.39,708.92,667.26,592.06,3.0,5172,heating active,bright,low activity
afternoon,19.57,51.23,91.17,611.56,537.71,751.67,709.82,621.49,1.0,7241,maintenance mode,very bright,moderate activity
afternoon,19.55,51.58,89.72,614.74,544.86,762.17,696.24,611.72,1.0,7241,cooling active,dim,low activity
afternoon,19.96,50.99,86.21,618.52,524.72,751.8,694.86,609.13,1.0,7241,eco mode,moderate,low activity
afternoon,19.55,51.88,88.88,617.46,538.79,752.68,705.41,616.02,1.0,7241,eco mode,bright,moderate activity
night,18.26,50.82,125.74,580.64,480.8,752.28,706.58,642.24,1.0,6431,heating active,moderate,low activity
afternoon,17.92,44.65,88.62,599.76,531.04,738.88,683.91,604.78,0.0,3418,maintenance mode,bright,high activity
afternoon,20.52,51.42,88.13,614.97,506.68,755.73,689.99,611.74,1.0,7241,cooling active,bright,moderate activity
morning,17.95,54.83,103.53,598.46,517.84,757.38,728.83,663.53,1.0,9658,off,very bright,moderate activity
night,20.69,47.47,113.84,577.92,452.05,725.78,689.07,616.06,1.0,6431,off,very bright,high activity
morning,19.56,56.21,137.55,556.54,431.28,692.18,649.0,572.4,2.0,6528,cooling active,dim,high activity
afternoon,19.75,50.36,82.03,620.5,430.59,767.14,716.49,651.7,1.0,7241,off,moderate,high activity
afternoon,20.68,51.42,82.12,618.28,428.66,764.53,718.55,637.9,1.0,7241,cooling active,very bright,moderate activity
morning,19.64,51.42,139.9,579.3,476.97,720.98,682.7,607.58,1.0,4507,off,dim,moderate activity
afternoon,20.43,50.1,83.18,619.46,386.88,757.15,711.68,631.02,1.0,7241,cooling active,dim,high activity
afternoon,20.62,49.78,80.43,617.49,411.58,756.03,701.61,617.47,1.0,7241,off,very bright,high activity
evening,22.5,55.28,133.22,561.16,404.1,687.88,621.54,553.27,2.0,4761,maintenance mode,dim,low activity
afternoon,20.11,51.83,91.14,622.06,400.63,747.91,705.75,627.27,1.0,7241,off,very dim,low activity
night,20.46,52.84,104.57,549.99,488.9,735.78,674.24,606.47,1.0,4703,heating active,bright,low activity
afternoon,19.73,52.82,90.26,615.88,402.74,755.03,693.76,626.51,1.0,7241,maintenance mode,dim,moderate activity
afternoon,19.66,53.02,88.56,618.0,393.85,752.88,691.95,615.95,1.0,7241,cooling active,bright,moderate activity
afternoon,21.73,51.42,97.11,576.24,479.17,727.27,683.29,603.66,1.0,1903,eco mode,bright,low activity
morning,19.47,51.42,101.71,579.51,459.39,716.73,670.01,596.34,1.0,6528,off,very bright,moderate activity
afternoon,19.25,54.18,85.51,614.89,397.63,742.96,704.25,630.19,1.0,7241,eco mode,very dim,high activity
afternoon,19.15,51.42,81.53,619.29,407.35,752.39,708.46,621.13,1.0,7241,maintenance mode,moderate,moderate activity
