Feature,Importance
TEMP_HUM_RATIO,9.29646752221428
TEMPERATURE,7.721429449549459
CO2_AVG,7.102518059827425
TEMP_SQ,6.905674469694523
TEMP_HUMIDITY,6.745198728734855
CO2_ELECTROCHEMICALSENSOR,6.710234217874271
TEMP_CO2,4.5929412465020585
METALOXIDESENSOR_UNIT1,4.060639619776373
TEMP_MINUS_HUM,3.8887279591735764
MOS_CO_RATIO,3.823509433186082
METALOXIDESENSOR_UNIT4,3.466267349776377
MOS_STD,3.457655348522733
METALOXIDESENSOR_UNIT3,2.948449434646683
CO2_INFRAREDSENSOR,2.944821359818867
CO2_DIFF,2.9177398543345947
MOS_RANGE,2.8492184720184577
HUMIDITY_CO2,2.799279048915345
CO2_RATIO,2.482449853614375
METALOXIDESENSOR_UNIT2,2.4148836925445076
HUMIDITY_SQ,2.1678031204113823
CO_GASSENSOR,2.0232120124630812
HUMIDITY,1.8642842702662255
MOS_TOTAL,1.564973589376625
MOS_AVG,1.5401628552046556
ACTIVITY_LEVEL,1.2968141389034322
HVAC_OPERATION_MODE,1.2129039395531915
AMBIENT_LIGHT_LEVEL,1.201740953096545
