,Class_high activity,Class_low activity,Class_moderate activity
TEMPERATURE,-0.09644224007994451,0.24522495478628367,-0.14878271470633986
HUMIDITY,0.001236102684911026,0.059285075757813985,-0.06052117844272414
CO2_INFRAREDSENSOR,-0.016441847522682507,0.07163786105583171,-0.05519601353314873
CO2_ELECTROCHEMICALSENSOR,0.08012668529323544,-0.159737613101259,0.07961092780802397
METALOXIDESENSOR_UNIT1,-0.030091858652987132,-0.021927311968014652,0.052019170621002545
METALOXIDESENSOR_UNIT2,0.08795264161459833,-0.1270687284822936,0.03911608686769901
METALOXIDESENSOR_UNIT3,0.12130106498803357,-0.220716605995997,0.09941554100796286
METALOXIDESENSOR_UNIT4,0.09210723283864622,-0.12691333818897554,0.03480610535032879
CO_GASSENSOR,0.025074148016235736,0.05695204836230727,-0.08202619637855357
TIME_OF_DAY_evening,0.07585079439649269,-0.08353143082859125,0.007680636432100153
TIME_OF_DAY_morning,0.015413970826192253,0.0005575294906528631,-0.01597150031684312
TIME_OF_DAY_night,0.06645503712077963,-0.07248078576496754,0.006025748644190059
HVAC_OPERATION_MODE_eco mode,0.016662750960803854,-0.007234909603181104,-0.009427841357623205
HVAC_OPERATION_MODE_heating active,0.006205289374902438,-0.0016031059952089784,-0.004602183379693486
HVAC_OPERATION_MODE_maintenance mode,0.03947276554355032,-0.04715834666120099,0.007685581117650726
HVAC_OPERATION_MODE_off,0.022762197538849144,-0.028072796905793194,0.005310599366943629
HVAC_OPERATION_MODE_ventilation only,0.03855516178418677,-0.018796784992931453,-0.019758376791257286
AMBIENT_LIGHT_LEVEL_dim,-0.051070822956960214,0.047753024590572374,0.003317798366388197
AMBIENT_LIGHT_LEVEL_moderate,-0.0803392667340599,0.08371037841384577,-0.003371111679785658
AMBIENT_LIGHT_LEVEL_very bright,-0.03978830223799682,0.02474748494681018,0.015040817291187766
AMBIENT_LIGHT_LEVEL_very dim,0.02304225335854247,0.02016333555750119,-0.043205588916043654
