Feature,Importance
TEMPERATURE,0.05441105796210928
HUMIDITY,0.023942887715186396
CO2_INFRAREDSENSOR,0.05926407290269388
CO2_ELECTROCHEMICALSENSOR,0.08944910795573038
METALOXIDESENSOR_UNIT1,0.06625539189594316
METALOXIDESENSOR_UNIT2,0.10879955767248041
METALOXIDESENSOR_UNIT3,0.06318728301740968
METALOXIDESENSOR_UNIT4,0.5133379717448364
TIME_OF_DAY_afternoon,0.0
TIME_OF_DAY_evening,0.0
TIME_OF_DAY_morning,0.0
TIME_OF_DAY_night,0.0
CO_GASSENSOR_0.0,0.0
CO_GASSENSOR_1.0,0.007129843211207521
CO_GASSENSOR_2.0,0.0
CO_GASSENSOR_3.0,0.0
CO_GASSENSOR_4.0,0.0
HVAC_OPERATION_MODE_cooling active,0.0
HVAC_OPERATION_MODE_eco mode,0.0
HVAC_OPERATION_MODE_heating active,0.0
HVAC_OPERATION_MODE_maintenance mode,0.01005428266106621
HVAC_OPERATION_MODE_off,0.0
HVAC_OPERATION_MODE_ventilation only,0.002562331547981679
AMBIENT_LIGHT_LEVEL_bright,0.0016062117133549714
AMBIENT_LIGHT_LEVEL_dim,0.0
AMBIENT_LIGHT_LEVEL_moderate,0.0
AMBIENT_LIGHT_LEVEL_very bright,0.0
AMBIENT_LIGHT_LEVEL_very dim,0.0
