Feature,Importance
CO2_ELECTROCHEMICALSENSOR,0.012179016874541482
METALOXIDESENSOR_UNIT4,0.006749816581071211
METALOXIDESENSOR_UNIT1,0.005942773294204007
TEMPERATURE,0.0059427732942039955
TIME_OF_DAY_evening,0.004255319148936209
AMBIENT_LIGHT_LEVEL_bright,0.003888481291269297
HVAC_OPERATION_MODE_off,0.003448275862069006
TIME_OF_DAY_afternoon,0.0033749082905356388
CO2_INFRAREDSENSOR,0.0022010271460015107
AMBIENT_LIGHT_LEVEL_very bright,0.0012472487160675283
CO_GASSENSOR_0.0,0.0009537784299340158
TIME_OF_DAY_morning,0.0009537784299340158
CO_GASSENSOR_3.0,0.0008804108584006265
CO_GASSENSOR_4.0,0.000733675715333848
HVAC_OPERATION_MODE_ventilation only,0.0005135730007337025
HUMIDITY,0.00044020542920032436
TIME_OF_DAY_night,7.336757153340035e-05
AMBIENT_LIGHT_LEVEL_very dim,-7.336757153334484e-05
AMBIENT_LIGHT_LEVEL_dim,-0.00044020542920025774
METALOXIDESENSOR_UNIT3,-0.0005135730007336248
CO_GASSENSOR_1.0,-0.0013939838591342292
HVAC_OPERATION_MODE_cooling active,-0.0015407190022009743
CO_GASSENSOR_2.0,-0.002274394717534811
HVAC_OPERATION_MODE_maintenance mode,-0.0024211298606015784
AMBIENT_LIGHT_LEVEL_moderate,-0.0025678650036683346
HVAC_OPERATION_MODE_eco mode,-0.0028613352898018475
METALOXIDESENSOR_UNIT2,-0.005282465150403493
HVAC_OPERATION_MODE_heating active,-0.00579603815113715
