Feature,Importance
TEMPERATURE,0.09450327656261057
HUMIDITY,0.08890596573748416
CO2_INFRAREDSENSOR,0.09648695938283905
CO2_ELECTROCHEMICALSENSOR,0.10750314217947717
METALOXIDESENSOR_UNIT1,0.09586979640779615
METALOXIDESENSOR_UNIT2,0.10438564326388339
METALOXIDESENSOR_UNIT3,0.12397135656342152
METALOXIDESENSOR_UNIT4,0.1831643113793098
CO_GASSENSOR,0.01315070622743242
TIME_OF_DAY_evening,0.0046936224239611905
TIME_OF_DAY_morning,0.005482408219544124
TIME_OF_DAY_night,0.006050479441164731
HVAC_OPERATION_MODE_eco mode,0.009430884224604068
HVAC_OPERATION_MODE_heating active,0.009629437570550568
HVAC_OPERATION_MODE_maintenance mode,0.009269106919817674
HVAC_OPERATION_MODE_off,0.009582018216606236
HVAC_OPERATION_MODE_ventilation only,0.00884347451347317
AMBIENT_LIGHT_LEVEL_dim,0.005939240919116411
AMBIENT_LIGHT_LEVEL_moderate,0.007886069422538906
AMBIENT_LIGHT_LEVEL_very bright,0.009946607523229003
AMBIENT_LIGHT_LEVEL_very dim,0.005305492901139711
