Feature,Importance
METALOXIDESENSOR_UNIT4,0.11728508
METALOXIDESENSOR_UNIT3,0.073695585
METALOXIDESENSOR_UNIT2,0.054396413
CO_GASSENSOR,0.052249707
CO2_ELECTROCHEMICALSENSOR,0.052242145
METALOXIDESENSOR_UNIT1,0.046236683
TEMPERATURE,0.04591542
CO2_INFRAREDSENSOR,0.04398038
HUMIDITY,0.0426939
AMBIENT_LIGHT_LEVEL_very dim,0.04233459
HVAC_OPERATION_MODE_maintenance mode,0.04216266
HVAC_OPERATION_MODE_heating active,0.041421436
AMBIENT_LIGHT_LEVEL_dim,0.041011088
TIME_OF_DAY_morning,0.04054925
TIME_OF_DAY_evening,0.0403749
TIME_OF_DAY_night,0.03869729
HVAC_OPERATION_MODE_eco mode,0.038413964
HVAC_OPERATION_MODE_ventilation only,0.03816212
HVAC_OPERATION_MODE_off,0.037791766
AMBIENT_LIGHT_LEVEL_moderate,0.037394248
AMBIENT_LIGHT_LEVEL_very bright,0.032991387
